Year,LSS Number,LSS Name,School Number,School Name,Star Rating,Total Points Earned Percentage,Percentile Rank Elementary,Percentile Rank Middle,Percentile Rank High
2019,3,Baltimore County,813,Warren Elementary,3,56,28,na,na
2019,3,Baltimore County,814,Mays Chapel Elementary,4,69,71,na,na
2019,3,Baltimore County,852,Ridgely Middle,4,67,na,80,na
2019,3,Baltimore County,853,Cockeysville Middle,3,55,na,52,na
2019,3,Baltimore County,855,Hereford Middle,4,69,na,84,na
2019,3,Baltimore County,872,Dulaney High,4,65,na,na,62
2019,3,Baltimore County,905,Stoneleigh Elementary,5,75,85,na,na
2019,3,Baltimore County,907,Rodgers Forge Elementary,5,84,98,na,na
2019,3,Baltimore County,908,Villa Cresta Elementary,4,61,43,na,na
2019,3,Baltimore County,909,Pleasant Plains Elementary,3,48,12,na,na
2019,3,Baltimore County,910,Oakleigh Elementary,3,57,32,na,na
2019,3,Baltimore County,911,Hampton Elementary,4,73,81,na,na
2019,3,Baltimore County,912,Halstead Academy,3,48,12,na,na
2019,3,Baltimore County,915,Harford Hills Elementary,3,59,38,na,na
2019,3,Baltimore County,916,Cromwell Valley Elementary Technology,5,76,87,na,na
2019,3,Baltimore County,921,Pine Grove Elementary,4,64,56,na,na
2019,3,Baltimore County,923,White Oak School,3,50,16,na,na
2019,3,Baltimore County,925,West Towson Elementary,5,82,97,na,na
2019,3,Baltimore County,953,Dumbarton Middle,4,60,na,66,na
2019,3,Baltimore County,954,Loch Raven Technical Academy,3,45,na,26,na
2019,3,Baltimore County,957,Pine Grove Middle,3,50,na,38,na
2019,3,Baltimore County,971,Towson High Law & Public Policy,4,70,na,na,74
2019,3,Baltimore County,972,Parkville High & Center for Math/Science,2,41,na,na,16
2019,3,Baltimore County,973,Loch Raven High,4,61,na,na,51
2019,3,Baltimore County,975,George W. Carver Center for Arts & Technology,5,79,na,na,92
2019,3,Baltimore County,1001,Carroll Manor Elementary,5,81,96,na,na
2019,3,Baltimore County,1002,Jacksonville Elementary,5,82,97,na,na
2019,3,Baltimore County,1104,Kingsville Elementary,5,80,95,na,na
2019,3,Baltimore County,1105,Perry Hall Elementary,4,72,79,na,na
2019,3,Baltimore County,1106,Carney Elementary,3,49,14,na,na
2019,3,Baltimore County,1107,Chapel Hill Elementary,5,79,94,na,na
2019,3,Baltimore County,1109,Joppa View Elementary,4,63,53,na,na
2019,3,Baltimore County,1110,Seven Oaks Elementary,4,63,53,na,na
2019,3,Baltimore County,1111,Gunpowder Elementary,4,67,65,na,na
2019,3,Baltimore County,1113,Honeygo Elementary,5,79,93,na,na
2019,3,Baltimore County,1151,Perry Hall Middle,3,56,na,56,na
2019,3,Baltimore County,1171,Perry Hall High,3,54,na,na,35
2019,3,Baltimore County,1202,Dundalk Elementary,3,52,20,na,na
2019,3,Baltimore County,1205,Berkshire Elementary,3,53,22,na,na
2019,3,Baltimore County,1206,Bear Creek Elementary,3,58,34,na,na
2019,3,Baltimore County,1207,Norwood Elementary,3,55,26,na,na
2019,3,Baltimore County,1210,Grange Elementary,4,63,53,na,na
2019,3,Baltimore County,1212,Charlesmont Elementary,3,58,35,na,na
2019,3,Baltimore County,1216,Sandy Plains Elementary,3,48,11,na,na
2019,3,Baltimore County,1217,Logan Elementary,3,51,17,na,na
2019,3,Baltimore County,1251,Dundalk Middle,2,40,na,15,na
2019,3,Baltimore County,1253,Holabird Middle,2,37,8,2,na
2019,3,Baltimore County,1255,General John Stricker Middle,2,44,na,21,na
2019,3,Baltimore County,1272,Patapsco High & Center for Arts,3,52,na,na,32
2019,3,Baltimore County,1273,Dundalk High,2,42,na,na,18
2019,3,Baltimore County,1302,Arbutus Elementary,4,70,72,na,na
2019,3,Baltimore County,1307,Baltimore Highlands Elementary,4,64,57,na,na
2019,3,Baltimore County,1308,Riverview Elementary,2,44,7,na,na
2019,3,Baltimore County,1310,Relay Elementary,4,62,47,na,na
2019,3,Baltimore County,1311,Lansdowne Elementary,3,57,33,na,na
2019,3,Baltimore County,1313,Halethorpe Elementary,4,63,50,na,na
2019,3,Baltimore County,1351,Lansdowne Middle,2,40,na,14,na
2019,3,Baltimore County,1356,Arbutus Middle,2,44,na,22,na
2019,3,Baltimore County,1371,Lansdowne High & Academy of Finance,2,41,na,na,17
2019,3,Baltimore County,1403,McCormick Elementary,2,44,7,na,na
2019,3,Baltimore County,1404,Fullerton Elementary,4,62,46,na,na
2019,3,Baltimore County,1405,Elmwood Elementary,3,50,16,na,na
2019,3,Baltimore County,1406,Red House Run Elementary,3,56,31,na,na
2019,3,Baltimore County,1409,Shady Spring Elementary,3,56,27,na,na
2019,3,Baltimore County,1451,Golden Ring Middle,2,39,na,14,na
2019,3,Baltimore County,1452,Parkville Middle & Center of Technology,3,48,na,35,na
2019,3,Baltimore County,1473,Overlea High & Academy of Finance,3,47,na,na,24
2019,3,Baltimore County,1502,Edgemere Elementary,4,70,73,na,na
2019,3,Baltimore County,1503,Colgate Elementary,3,54,25,na,na
2019,3,Baltimore County,1505,Victory Villa Elementary,3,53,21,na,na
2019,3,Baltimore County,1506,Martin Boulevard Elementary,3,58,35,na,na
2019,3,Baltimore County,1507,Chase Elementary,3,52,19,na,na
2019,3,Baltimore County,1508,Essex Elementary,3,56,30,na,na
2019,3,Baltimore County,1511,Chesapeake Terrace Elementary,4,63,52,na,na
2019,3,Baltimore County,1512,Mars Estates Elementary,3,59,38,na,na
2019,3,Baltimore County,1513,Sussex Elementary,3,46,9,na,na
2019,3,Baltimore County,1514,Middlesex Elementary,3,48,12,na,na
2019,3,Baltimore County,1515,Hawthorne Elementary,2,40,5,na,na
2019,3,Baltimore County,1517,Battle Grove Elementary,2,44,7,na,na
2019,3,Baltimore County,1518,Glenmar Elementary,3,51,17,na,na
2019,3,Baltimore County,1519,Orems Elementary,3,58,35,na,na
2019,3,Baltimore County,1520,Middleborough Elementary,4,72,77,na,na
2019,3,Baltimore County,1525,Deep Creek Elementary,3,46,10,na,na
2019,3,Baltimore County,1527,Sandalwood Elementary,3,57,32,na,na
2019,3,Baltimore County,1531,Seneca Elementary,3,53,22,na,na
2019,3,Baltimore County,1533,Vincent Farm Elementary,4,60,42,na,na
2019,3,Baltimore County,1534,Oliver Beach Elementary,4,73,81,na,na
2019,3,Baltimore County,1554,Stemmers Run Middle,2,42,na,18,na
2019,3,Baltimore County,1556,Middle River Middle,2,40,na,17,na
2019,3,Baltimore County,1557,Deep Creek Middle,2,38,na,13,na
2019,3,Baltimore County,1559,Sparrows Point Middle,3,58,na,57,na
2019,3,Baltimore County,1572,Kenwood High IB and Sports Science,2,43,na,na,19
2019,3,Baltimore County,1573,Sparrows Point High,4,67,na,na,65
2019,3,Baltimore County,1574,Chesapeake High,3,45,na,na,21
2019,3,Baltimore County,1575,Eastern Technical High School,5,90,na,na,99
2019,4,Calvert,101,Patuxent Appeal Elementary Campus,3,56,28,na,na
2019,4,Calvert,110,Mutual Elementary,4,68,67,na,na
2019,4,Calvert,111,Southern Middle,3,54,na,50,na
2019,4,Calvert,113,Patuxent High,4,73,na,na,78
2019,4,Calvert,114,St Leonard Elementary,4,63,50,na,na
2019,4,Calvert,115,Dowell Elementary,4,65,58,na,na
2019,4,Calvert,116,Mill Creek Middle,4,68,na,82,na
2019,4,Calvert,201,Calvert Middle,4,65,na,76,na
2019,4,Calvert,207,Calvert Elementary,3,59,39,na,na
2019,4,Calvert,208,Barstow Elementary,4,67,65,na,na
2019,4,Calvert,209,Huntingtown Elementary,5,75,86,na,na
2019,4,Calvert,213,Calvert High,5,75,na,na,82
2019,4,Calvert,215,Plum Point Elementary,4,74,82,na,na
2019,4,Calvert,216,Plum Point Middle,4,72,na,89,na
2019,4,Calvert,217,Huntingtown High School,5,77,na,na,89
2019,4,Calvert,302,Beach Elementary,4,74,82,na,na
2019,4,Calvert,312,Mount Harmony Elementary,5,80,95,na,na
2019,4,Calvert,314,Northern High,5,77,na,na,87
2019,4,Calvert,315,Northern Middle,4,72,na,88,na
2019,4,Calvert,316,Sunderland Elementary,4,67,66,na,na
2019,4,Calvert,317,Windy Hill Elementary,4,74,82,na,na
2019,4,Calvert,318,Windy Hill Middle,4,71,na,87,na
2019,5,Caroline,201,Greensboro Elementary School,4,68,67,na,na
2019,5,Caroline,301,Denton Elementary School,4,70,72,na,na
2019,5,Caroline,302,Lockerman Middle School,3,52,na,47,na
2019,5,Caroline,401,Preston Elementary School,4,62,49,na,na
2019,5,Caroline,501,Federalsburg Elementary School,4,64,55,na,na
2019,5,Caroline,701,Ridgely Elementary School,4,69,70,na,na
2019,5,Caroline,703,North Caroline High School,3,59,na,na,48
2019,5,Caroline,801,Colonel Richardson High School,4,66,na,na,64
2019,5,Caroline,802,Colonel Richardson Middle School,3,50,na,40,na
2019,6,Carroll,103,Taneytown Elementary,4,62,49,na,na
2019,6,Carroll,105,Northwest Middle,4,63,na,72,na
2019,6,Carroll,202,Francis Scott Key High,4,69,na,na,71
2019,6,Carroll,204,Runnymede Elementary,4,64,56,na,na
2019,6,Carroll,404,Sandymount Elementary,4,69,71,na,na
2019,6,Carroll,406,Mechanicsville Elementary,4,70,74,na,na
2019,6,Carroll,501,Eldersburg Elementary,5,76,88,na,na
2019,6,Carroll,503,Linton Springs Elementary,4,74,83,na,na
2019,6,Carroll,504,Sykesville Middle,4,74,na,92,na
2019,6,Carroll,505,Freedom District Elementary,5,78,92,na,na
2019,6,Carroll,506,Carrolltowne Elementary,4,72,77,na,na
2019,6,Carroll,507,Liberty High,5,81,na,na,94
2019,6,Carroll,508,Oklahoma Road Middle,5,76,na,95,na
2019,6,Carroll,509,Piney Ridge Elementary,4,70,72,na,na
2019,6,Carroll,510,Century High,5,83,na,na,97
2019,6,Carroll,601,Manchester Elementary,4,66,60,na,na
2019,6,Carroll,602,Manchester Valley High,4,72,na,na,75
2019,6,Carroll,603,Ebb Valley Elementary,4,66,60,na,na
2019,6,Carroll,701,Westminster East Middle,3,58,na,58,na
2019,6,Carroll,703,Westminster West Middle,3,59,na,62,na
2019,6,Carroll,704,Winters Mill High,4,65,na,na,62
2019,6,Carroll,705,William Winchester Elementary,4,64,55,na,na
2019,6,Carroll,707,Westminster High,5,75,na,na,82
2019,6,Carroll,710,Westminster Elementary,4,69,69,na,na
2019,6,Carroll,711,Robert Moton Elementary,4,65,59,na,na
2019,6,Carroll,714,Friendship Valley Elementary,4,71,76,na,na
2019,6,Carroll,715,Cranberry Station Elementary,4,69,70,na,na
2019,6,Carroll,716,Gateway School,2,37,na,na,10
2019,6,Carroll,801,North Carroll Middle,4,63,na,71,na
2019,6,Carroll,804,Hampstead Elementary,5,78,90,na,na
2019,6,Carroll,806,Spring Garden Elementary,4,74,82,na,na
2019,6,Carroll,807,Shiloh Middle,4,68,na,81,na
2019,6,Carroll,903,Flexible Student Support,4,63,na,na,57
2019,6,Carroll,906,Winfield Elementary,5,75,85,na,na
2019,6,Carroll,1201,Elmer A. Wolfe Elementary,4,69,69,na,na
2019,6,Carroll,1305,Mount Airy Elementary,4,69,70,na,na
2019,6,Carroll,1306,Mount Airy Middle,4,71,na,87,na
2019,6,Carroll,1401,South Carroll High,5,76,na,na,85
